n° SIRET,Pays,Catégorie,Sous-catégorie,Nom établissement,Adresse,Code postal,Ville,Site internet,Académie
,Allemagne,Ecoles internationales,Primaire,Ecole du lycée international,2 bis rue du fer à cheval,78100,Saint-Germain-en-Laye,www.lycee-international.com,Versailles
,Allemagne,Ecoles internationales,Primaire,Ecole Léonard de Vinci,Avenue de Verdun,77300,Fontainebleau,,Créteil
,Allemagne,Ecoles internationales,Lycée,Lycée François Ier,11 rue Victor Hugo,77300,Fontainebleau,www.deutsche-abteilung-fontainebleau.org,Créteil
,Allemagne,Ecoles internationales,Lycée,Lycée international,2 bis rue du fer à cheval,78100,Saint-Germain-en-Laye,www.lycee-international.com,Versailles
,Allemagne,Ecoles internationales,Lycée,Lycée international Honoré de Balzac,118 boulevard Bessières,75017,Paris,www.balzacinternational.org,Paris
,Allemagne,Ecoles internationales,Lycée,Lycée Janson de Sailly,106 Rue de la Pompe,75016,Paris,www.janson-de-sailly.fr,Paris
,Allemagne,Ecoles internationales,Lycée,Lycée Jean-Pierre Vernant,21 Rue du Docteur Gabriel Ledermann,92310,Sèvres,,Versailles
,Allemagne,Ecoles internationales,Lycée,Lycée Maurice Ravel,89 Cours de Vincennes,75020,Paris,www.lycee-maurice-ravel.fr,Paris
,Allemagne,Culture,Musique,Ecole de musique franco-allemande,18 rue Paster,92210,Saint-Cloud,http://idsp.fr/fr/vie-scolaire/ecole-de-musique-franco-allemande.html ,
,Allemagne,Culture,Centre culturel,Goethe Institut,"17, avenue d'Iéna",75016,Paris,www.goethe.de/ins/fr/par/,
,Allemagne,Culture,Centre culturel,Maison Heinrich Heine,"Cité internationale universitaire de Paris 27C, boulevard Jourdan",75014,Paris,www.maison-heinrich-heine.org ,
,Allemagne,Culture,Centre culturel,Centre allemand d'histoire de l'art,"10, place des Victoires",75002,Paris,www.dt-forum.org,
,Allemagne,Culture,Librairie,Librairie Marissal Bücher,"42, rue Rambuteau",75003,Paris,www.marissal.com,
,Allemagne,Culture,Librairie,Libraire Büchlader,"3, rue Burq",75018,Paris,,
,Allemagne,Culture,"Epicerie, Traiteur",Tante Emma Laden,"Marché Saint-Martin, 31 rue du Château-d'Eau",75010,Paris,www.tante-emma-laden.fr,
,Allemagne,Culture,"Epicerie, Traiteur",Epicurya,"10, rue Poncelet",75017,Paris,www.epicurya.com ,
,Allemagne,Culture,"Epicerie, Traiteur",KaffeeHaus,"11, rue Poncelet",75017,Paris,http://kaffeehaus-paris.fr/ ,
,Allemagne,Organismes économiques,Ambassade,Ambassade d'Allemagne,"13/15, avenue Franklin D. Roosevelt",75008,Paris,www.paris.diplo.de,
,Allemagne,Organismes économiques,Chambre de commerce,Chambre Franco-Allemande de Commerce et d'Industrie,"18, rue Balard",75015,Paris,http://sefr.mofa.gov.sa/Detail.asp?InSectionID=2890&InNewsItemID=44703,
,Chine,Ecoles internationales,Collège,Collège des Hauts Grillets,12 Boulevard Hector Berlioz,78100,Saint-Germain-en-Laye,www.clg-hautsgrillets-st-germain-laye.ac-versailles.fr/ ,Versailles
,Chine,Ecoles internationales,Collège,Collège Gabriel Fauré,81 Avenue de Choisy,75013,Paris,,Paris
,Chine,Ecoles internationales,Collège,Collège Janson de Sailly,106 Rue de la Pompe,75016,Paris,www.janson-de-sailly.fr,Paris
,Chine,Ecoles internationales,Collège,Collège Victor Hugo,2 Allée Elsa Triolet,93160,Noisy-le-grand,www.college-victorhugo-noisylegrand.fr,CRETEIL
,Chine,Ecoles internationales,Primaire,Ecole de la Châtaigneraie,3 chemin des écoliers ,78240,Chambourcy,,Versailles
,Chine,Ecoles internationales,Primaire,Ecole élémentaire Longchamp,130 rue de Longchamp,75016,Paris,,Paris
,Chine,Ecoles internationales,Primaire,Ecole Jean Moulin,50 rue de l'Aurore,78100,Saint-Germain-en-Laye,,Versailles
,Chine,Ecoles internationales,Primaire,Groupe scolaire Ivry Levassor,51 avenue de la porte d'Ivry,75013,Paris,,Paris
,Chine,Ecoles internationales,Lycée,Lycée Claude Monet,1 Rue du Docteur Magnan,75013,Paris,http://lyc-monet.scola.ac-paris.fr,Paris
,Chine,Ecoles internationales,Lycée,Lycée Flora Tristan,27 rue des Hauts-Roseaux,93160,Noisy-le-grand,www.lyceefloratristan.fr ,Créteil
,Danemark,Ecoles internationales,Collège,Collège du lycée international,2 bis rue du fer à cheval,78100,Saint-Germain-en-Laye,www.lycee-international.com,Versailles
,Danemark,Ecoles internationales,Primaire,Ecole du lycée international,2 bis rue du fer à cheval,78100,Saint-Germain-en-Laye,www.lycee-international.com,Versailles
,Danemark,Ecoles internationales,Lycée,Lycée international,2 bis rue du fer à cheval,78100,Saint-Germain-en-Laye,www.lycee-international.com,Versailles
,Espagne,Ecoles internationales,Collège,Collège du lycée international,2 bis rue du fer à cheval,78100,Saint-Germain-en-Laye,www.lycee-international.com,Versailles
,Espagne,Ecoles internationales,Collège,Collège espagnol Garcia Lorca,53 rue de la Pompe,75016,Paris,,Paris
,Espagne,Ecoles internationales,Collège,Collège international Honoré de Balzac,118 boulevard Bessières,75017,Paris,www.balzacinternational.org,Paris
,Espagne,Ecoles internationales,Collège,Collège Marcel Roby,3 Rue de La Rochejacquelein,78100,Saint-Germain-en-Laye,,Versailles
,Espagne,Ecoles internationales,Collège,Collège Maurice Ravel,89 Cours de Vincennes,75020,Paris,www.lycee-maurice-ravel.fr,Paris
,Espagne,Ecoles internationales,Primaire,Ecole du lycée international,2 bis rue du fer à cheval,78100,Saint-Germain-en-Laye,www.lycee-international.com,Versailles
,Espagne,Ecoles internationales,Primaire,Ecole Jean Moulin,13 quai du 8 Mai 1945,78230,Le Pecq,,Versailles
,Espagne,Ecoles internationales,Primaire,Ecole Schnapper,26 rue Schnapper,78100,Saint-Germain-en-Laye,,Versailles
,Espagne,Ecoles internationales,Lycée,Lycée international,2 bis rue du fer à cheval,78100,Saint-Germain-en-Laye,www.lycee-international.com,Versailles
,Espagne,Ecoles internationales,Lycée,Lycée international Honoré de Balzac,118 boulevard Bessières,75017,Paris,www.balzacinternational.org,Paris
,Espagne,Ecoles internationales,Lycée,Lycée Luis Buñuel,"38, Boulevard Victor Hugo",92200,Neuilly-sur-Seine,,Versailles
,Espagne,Ecoles internationales,Lycée,Lycée Maurice Ravel,89 Cours de Vincennes,75020,Paris,www.lycee-maurice-ravel.fr,Paris
,Italie ,Ecoles internationales,Collège,Collège des Hauts Grillets,13 Boulevard Hector Berlioz,78100,Saint-Germain-en-Laye,www.clg-hautsgrillets-st-germain-laye.ac-versailles.fr/ ,Versailles
,Italie ,Ecoles internationales,Collège,Collège du lycée international,2 bis rue du fer à cheval,78100,Saint-Germain-en-Laye,www.lycee-international.com,Versailles
,Italie ,Ecoles internationales,Collège,Collège international Honoré de Balzac,118 boulevard Bessières,75017,Paris,www.balzacinternational.org,Paris
,Italie ,Ecoles internationales,Primaire,Ecole du lycée international,2 bis rue du fer à cheval,78100,Saint-Germain-en-Laye,www.lycee-international.com,Versailles
,Italie ,Ecoles internationales,Primaire,Ecole italienne ,3 Avenue de Villars,75007,Paris,,Paris
,Italie ,Ecoles internationales,Lycée,Lycée Claude Monet,1 Rue du Docteur Magnan,75013,Paris,,Paris
,Italie ,Ecoles internationales,Lycée,Lycée international,2 bis rue du fer à cheval,78100,Saint-Germain-en-Laye,www.lycee-international.com,Versailles
,Italie ,Ecoles internationales,Lycée,Lycée international Honoré de Balzac,118 boulevard Bessières,75017,Paris,www.balzacinternational.org,Paris
,Japon ,Ecoles internationales,Collège,Collège du lycée international,2 bis rue du fer à cheval,78100,Saint-Germain-en-Laye,www.lycee-international.com,Versailles
,Japon ,Ecoles internationales,Collège,Collège Jean de La Fontaine,1 place de la porte Molitor,75016,Paris,http://www.ac-paris.fr/serail/jcms/p2_73101/ee-lg-jean-de-la-fontaine-portail ,Paris
,Japon ,Ecoles internationales,Primaire,Ecole du lycée international,2 bis rue du fer à cheval,78100,Saint-Germain-en-Laye,www.lycee-international.com,Versailles
,Japon ,Ecoles internationales,Lycée,Lycée international,2 bis rue du fer à cheval,78100,Saint-Germain-en-Laye,www.lycee-international.com,Versailles
,Japon ,Ecoles internationales,Lycée,Lycée Jean de La Fontaine,1 place de la porte Molitor,75016,Paris,http://www.ac-paris.fr/serail/jcms/p2_73101/ee-lg-jean-de-la-fontaine-portail ,Paris
,Pays-Bas,Ecoles internationales,Collège,Collège du lycée international,2 bis rue du fer à cheval,78100,Saint-Germain-en-Laye,www.lycee-international.com,Versailles
,Pays-Bas,Ecoles internationales,Primaire,Ecole du lycée international,2 bis rue du fer à cheval,78100,Saint-Germain-en-Laye,www.lycee-international.com,Versailles
,Pays-Bas,Ecoles internationales,Lycée,Lycée international,2 bis rue du fer à cheval,78100,Saint-Germain-en-Laye,www.lycee-international.com,Versailles
,Norvège ,Ecoles internationales,Collège,Collège du lycée international,2 bis rue du fer à cheval,78100,Saint-Germain-en-Laye,www.lycee-international.com,Versailles
,Norvège ,Ecoles internationales,Primaire,Ecole du lycée international,2 bis rue du fer à cheval,78100,Saint-Germain-en-Laye,www.lycee-international.com,Versailles
,Norvège ,Ecoles internationales,Lycée,Lycée international,2 bis rue du fer à cheval,78100,Saint-Germain-en-Laye,www.lycee-international.com,Versailles
,Pologne,Ecoles internationales,Collège,Collège des Hauts Grillets,14 Boulevard Hector Berlioz,78100,Saint-Germain-en-Laye,,Versailles
,Pologne,Ecoles internationales,Collège,Collège du lycée international,2 bis rue du fer à cheval,78100,Saint-Germain-en-Laye,www.lycee-international.com,Versailles
,Pologne,Ecoles internationales,Collège,Collège Montaigne,17 Rue Auguste Comte,75006,Paris,www.montaigne-paris.fr,Paris
,Pologne,Ecoles internationales,Lycée,Lycée international,2 bis rue du fer à cheval,78100,Saint-Germain-en-Laye,www.lycee-international.com,Versailles
,Pologne,Ecoles internationales,Lycée,Lycée Montaigne,17 Rue Auguste Comte,75006,Paris,www.montaigne-paris.fr,Paris
,Portugal,Ecoles internationales,Collège,Collège du lycée international,2 bis rue du fer à cheval,78100,Saint-Germain-en-Laye,www.lycee-international.com,Versailles
,Portugal,Ecoles internationales,Collège,Collège international Honoré de Balzac,118 boulevard Bessières,75017,Paris,www.balzacinternational.org,Paris
,Portugal,Ecoles internationales,Collège,Collège Jean Moulin,32 Avenue de la Résistance,92370,Chaville,,Versailles
,Portugal,Ecoles internationales,Collège,Collège Montaigne,17 Rue Auguste Comte,75006,Paris,www.montaigne-paris.fr,Paris
,Portugal,Ecoles internationales,Collège,Collège Pierre et Marie Curie,"62, avenue Pierre et Marie Curie",78230,Le Pecq,www.clg-curie-lepecq.ac-versailles.fr ,Versailles
,Portugal,Ecoles internationales,Primaire,Ecole du lycée international,2 bis rue du fer à cheval,78100,Saint-Germain-en-Laye,www.lycee-international.com,Versailles
,Portugal,Ecoles internationales,Primaire,Ecole Normandie Niemen,"3 bis, avenue du Pasteur Martin Luther King",78230,Le Pecq,,Versailles
,Portugal,Ecoles internationales,Primaire,Ecole Paul Bert,5 rue de la Bataille de Stalingrad,92370,Chaville,,Versailles
,Portugal,Ecoles internationales,Lycée,Lycée international,2 bis rue du fer à cheval,78100,Saint-Germain-en-Laye,www.lycee-international.com,Versailles
,Portugal,Ecoles internationales,Lycée,Lycée international Honoré de Balzac,118 boulevard Bessières,75017,Paris,www.balzacinternational.org,Paris
,Portugal,Ecoles internationales,Lycée,Lycée Montaigne,17 Rue Auguste Comte,75006,Paris,www.montaigne-paris.fr,Paris
,Russie,Ecoles internationales,Lycée,Lycée international,2 bis rue du fer à cheval,78100,Saint-Germain-en-Laye,www.lycee-international.com,Versailles
,Suède,Ecoles internationales,Collège,Collège du lycée international,2 bis rue du fer à cheval,78100,Saint-Germain-en-Laye,www.lycee-international.com,Versailles
,Suède,Ecoles internationales,Primaire,Ecole du lycée international,2 bis rue du fer à cheval,78100,Saint-Germain-en-Laye,www.lycee-international.com,Versailles
,Suède,Ecoles internationales,Lycée,Lycée international,2 bis rue du fer à cheval,78100,Saint-Germain-en-Laye,www.lycee-international.com,Versailles
,Suède,Ecoles internationales,Primaire,Swedish school of Paris,"9, rue Médéric",75017,Paris,www.svenskaskolanparis.com,Paris
,Suède,Ecoles internationales,Collège,Swedish school of Paris,"9, rue Médéric",75017,Paris,www.svenskaskolanparis.com,Paris
