,Année,Stade URL,Nom pendant la CM (si différent),Capacité lors de la CM
,1990,http://fr.wikipedia.org/wiki/Stadio_Renato_Dall%27Ara,,37825
,1990,http://fr.wikipedia.org/wiki/Stadio_Sant%27Elia,,40117
,1990,http://fr.wikipedia.org/wiki/Stadio_Artemio_Franchi,,41300
,1990,http://fr.wikipedia.org/wiki/Stade_Luigi-Ferraris,,35921
,1990,http://fr.wikipedia.org/wiki/Stade_Giuseppe_Meazza,,76398
,1990,http://fr.wikipedia.org/wiki/Stadio_San_Paolo,,74090
,1990,http://fr.wikipedia.org/wiki/Stadio_Renzo_Barbera,,36982
,1990,http://fr.wikipedia.org/wiki/Stadio_Olimpico,,80258
,1990,http://fr.wikipedia.org/wiki/Stadio_delle_Alpi,,67411
,1990,http://fr.wikipedia.org/wiki/Stadio_Friuli,,38685
,1990,http://fr.wikipedia.org/wiki/Stadio_Marc%27Antonio_Bentegodi,,40976
1994,1994,http://fr.wikipedia.org/wiki/Rose_Bowl_(stade),,91000
,1994,http://fr.wikipedia.org/wiki/Stanford_Stadium,,80000
,1994,http://fr.wikipedia.org/wiki/Pontiac_Silverdome,,80000
,1994,http://fr.wikipedia.org/wiki/Giants_Stadium,,77000
,1994,http://fr.wikipedia.org/wiki/Citrus_Bowl,,70000
,1994,http://fr.wikipedia.org/wiki/Soldier_Field,,70000
,1994,http://fr.wikipedia.org/wiki/Cotton_Bowl_(stade),,67000
,1994,http://fr.wikipedia.org/wiki/Foxboro_Stadium,,61000
,1994,http://fr.wikipedia.org/wiki/Robert_F._Kennedy_Memorial_Stadium,,56000
1998,1998,http://fr.wikipedia.org/wiki/Stade_de_France,,80000
,1998,http://fr.wikipedia.org/wiki/Stade_V%C3%A9lodrome_(Marseille),,60000
,1998,http://fr.wikipedia.org/wiki/Stade_du_Parc_des_Princes,,48275
,1998,http://fr.wikipedia.org/wiki/Stade_de_Gerland,,44000
,1998,http://fr.wikipedia.org/wiki/Stade_F%C3%A9lix-Bollaert,,41275
,1998,http://fr.wikipedia.org/wiki/Stade_de_la_Beaujoire,,38500
,1998,http://fr.wikipedia.org/wiki/Stadium_(Toulouse),Stadium municipal de Toulouse,36500
,1998,http://fr.wikipedia.org/wiki/Stade_Geoffroy-Guichard,,36000
,1998,http://fr.wikipedia.org/wiki/Stade_Jacques-Chaban-Delmas,,34500
,1998,http://fr.wikipedia.org/wiki/Stade_de_la_Mosson,,35500
2002,2002,http://fr.wikipedia.org/wiki/Stade_principal_Asiad,,55982
,2002,http://fr.wikipedia.org/wiki/Stade_de_Daegu,,70140
,2002,http://fr.wikipedia.org/wiki/Stade_de_la_Coupe_du_monde_de_Daejeon,,42176
,2002,http://fr.wikipedia.org/wiki/Stade_de_la_Coupe_du_monde_de_Gwangju,,42880
,2002,http://fr.wikipedia.org/wiki/Stade_Munhak_d%27Incheon,,52179
,2002,http://fr.wikipedia.org/wiki/Stade_de_la_Coupe_du_monde_de_Jeonju,,42477
